Specimen,Setting_cat,Organism_group,Organism,Total_isolates,Antibiotic,Susceptibility_%
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,CEFTAZIDIME,44.06779861450195
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,CEFTRIAXONE,8.474576950073242
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,CIPROFLOXACIN,47.45762634277344
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,CLINDAMYCIN,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,CO-TRIMOXAZOLE,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,COLISTIN BY MIC,100.0
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,ERTAPENEM,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,ERYTHROMYCIN,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,GENTAMICIN,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,IMIPENEM,47.45762634277344
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,LEVOFLOXACIN,50.84745788574219
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,MEROPENEM,47.45762634277344
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,PENICILLIN BY MIC,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,PIPERACILLIN / TAZOBACTAM,42.85714340209961
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,TETRACYCLINE,
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,VANCOMYCIN,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,AMIKACIN,90.93655395507812
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,AMOXICILLIN/ CLAVULANIC ACID,65.25679779052734
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,CEFOPERAZONE / SULBACTAM,92.7492446899414
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,CEFTAZIDIME,76.7371597290039
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,CEFTRIAXONE,58.61027145385742
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,CIPROFLOXACIN,26.58610343933105
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,CLINDAMYCIN,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,CO-TRIMOXAZOLE,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,COLISTIN BY MIC,98.79154062271118
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,ERTAPENEM,95.77039337158205
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,ERYTHROMYCIN,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,GENTAMICIN,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,IMIPENEM,96.6767349243164
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,LEVOFLOXACIN,22.96072578430176
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,MEROPENEM,96.6767349243164
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,PENICILLIN BY MIC,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,PIPERACILLIN / TAZOBACTAM,83.28267669677734
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,TETRACYCLINE,
All Specimen,Outpatient,Gram negative,Escherichia coli (all isolates),331.0,VANCOMYCIN,
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,AMIKACIN,98.02631378173828
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,AMOXICILLIN/ CLAVULANIC ACID,66.44737243652344
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,CEFOPERAZONE / SULBACTAM,90.13158416748048
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,CEFTAZIDIME,65.13158416748047
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,CEFTRIAXONE,61.18420791625977
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,CIPROFLOXACIN,44.07894515991211
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,CLINDAMYCIN,
